Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
63;33;Del Giro;76099850-8;COMERCIAL E INVERSIONES BORQUEZ HULSE LT;146830;20/01/2018;20/01/2018 12:38:41;;0;16081;3055;;;30044;;;;;0;;;;0;35;10908;0;
64;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4814498;20/01/2018;20/01/2018 15:14:15;;0;10924;2076;;;15000;;;;;0;;;;0;28;2000;13.33;
65;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50901;22/01/2018;22/01/2018 10:33:37;;0;17720;3367;;;33011;;;;;0;;;;0;35;11924;0;
66;33;Del Giro;76390858-5;SOCIEDAD COMERCIAL LANGBAS LIMITADA;70389;22/01/2018;22/01/2018 16:21:41;;0;7281;1383;;;10000;;;;;0;;;;0;28;1336;0;
67;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50839;22/01/2018;22/01/2018 18:57:37;;0;16372;3111;;;30000;;;;;0;;;;0;35;10517;0;
68;33;Del Giro;76821330-5;IMPERIAL S.A.;12995266;23/01/2018;23/01/2018 10:13:19;;0;488616;92837;;;581453;;;;;0;;;;0;;;;
69;33;Del Giro;78488790-1;PANELES AISLANTES MULTIPANEL SPA;2006;23/01/2018;23/01/2018 11:31:14;31/01/2018 18:23:58;0;5370480;1020391;;;6390871;;;;;0;;;;0;;;;
70;33;Del Giro;76338631-7;SOCIEDAD COMERCIALIZADORA DE ARIDOS ECAVAL LIMITADA;1632;23/01/2018;23/01/2018 14:14:33;31/01/2018 18:54:07;0;384000;72960;;;456960;;;;;0;;;;0;;;;
71;33;Del Giro;97006000-6;BANCO DE CREDITO E INVERSIONES;15939657;22/01/2018;23/01/2018 14:18:16;31/01/2018 19:27:38;0;8045;1529;;;9574;;;;;0;;;;0;;;;
72;33;Del Giro;76451399-1;COMERCIALIZADORA LARRAIN E HIJOS Y COMPANIA LIMITADA;364;23/01/2018;23/01/2018 15:00:56;;0;100000;19000;;;119000;;;;;0;;;;0;;;;
73;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;50852;23/01/2018;23/01/2018 16:20:01;;0;13644;2592;;;25000;;;;;0;;;;0;35;8764;0;
74;33;Del Giro;76821330-5;IMPERIAL S.A.;12998010;23/01/2018;23/01/2018 16:29:40;;0;150302;28557;;;178859;;;;;0;;;;0;;;;
75;33;Del Giro;96792430-K;SODIMAC S.A.;86383315;23/01/2018;23/01/2018 17:15:31;;0;8220;1562;;;9782;;;;;0;;;;0;;;;
76;33;Del Giro;76455295-4;INVERSIONES LOS LAGOS SPA;5520;23/01/2018;23/01/2018 18:15:31;31/01/2018 19:27:38;0;3663;696;;;5000;;;;;0;;;;0;28;641;0;
77;33;Del Giro;76853420-9;GABRIELA ALEJANDRA NUNEZ MIRANDA MAQUINARIAS Y CONSTRUCCION EIRL;260;23/01/2018;23/01/2018 22:51:02;;0;306000;58140;;;364140;;;;;0;;;;0;;;;
78;33;Del Giro;79550730-2;COMERCIAL LARRAIN S.A.;1387742;24/01/2018;24/01/2018 10:03:21;31/01/2018 18:58:09;0;87093;16548;;;103641;;;;;0;;;;0;;;;
79;33;Del Giro;96792430-K;SODIMAC S.A.;88502764;24/01/2018;24/01/2018 12:04:44;;0;109611;20826;;;130437;;;;;0;;;;0;;;;
80;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4828408;24/01/2018;24/01/2018 16:30:32;;0;3664;696;;;5000;;;;;0;;;;0;28;640;12.8;
81;33;Del Giro;76821330-5;IMPERIAL S.A.;13003267;24/01/2018;24/01/2018 21:09:20;;0;156182;29675;;;185857;;;;;0;;;;0;;;;
82;33;Del Giro;76821330-5;IMPERIAL S.A.;13003268;24/01/2018;24/01/2018 21:09:20;;0;25554;4855;;;30409;;;;;0;;;;0;;;;
83;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51052;25/01/2018;25/01/2018 07:21:19;;0;18629;3540;;;34000;;;;;0;;;;0;35;11831;0;
84;33;Del Giro;10379683-0;JOSE ISIDRO MORAN PARADA;21;25/01/2018;25/01/2018 09:06:44;31/01/2018 17:55:10;0;2016000;383040;;;2399040;;;;;0;;;;0;;;;
85;33;Del Giro;76629366-2;CONSTRUCTORA ALTO BUIN ALEJANDRO SEPULVEDA E.I.R.L.;35;25/01/2018;25/01/2018 11:22:27;31/01/2018 18:01:48;0;3000000;570000;;;3570000;;;;;0;;;;0;;;;
86;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51061;25/01/2018;25/01/2018 12:23:01;;0;21582;4101;;;40000;;;;;0;;;;0;35;14317;0;
87;33;Del Giro;77704270-K;POLIETILENOS BIOPLASTIC CHILE LTDA;92504;25/01/2018;25/01/2018 13:10:41;;0;169624;32229;;;201853;;;;;0;;;;0;;;;
88;33;Del Giro;76455295-4;INVERSIONES LOS LAGOS SPA;5579;25/01/2018;25/01/2018 13:45:28;31/01/2018 19:27:38;0;7326;1392;;;10000;;;;;0;;;;0;28;1282;0;
89;33;Del Giro;99061000-2;Liberty Compañia de Seguros Generales S.A;4308250;24/01/2018;25/01/2018 16:36:08;31/01/2018 19:27:38;0;39803;7563;;;47366;;;;;0;;;;0;;;;
90;33;Del Giro;76821330-5;IMPERIAL S.A.;13007167;25/01/2018;25/01/2018 18:27:51;;0;65378;12422;;;77800;;;;;0;;;;0;;;;
91;33;Del Giro;76111900-1;SOC COM Y DIST GABRIEL VASQUEZ Y CIA LTD;206600;27/01/2018;27/01/2018 10:50:35;;0;2939;558;;;4001;;;;;0;;;;0;28;504;0;
92;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51208;27/01/2018;27/01/2018 10:57:34;;0;16244;3086;;;30000;;;;;0;;;;0;35;10670;0;
93;33;Del Giro;76821330-5;IMPERIAL S.A.;13013797;29/01/2018;29/01/2018 10:25:34;;0;629529;119610;;;749139;;;;;0;;;;0;;;;
94;33;Del Giro;79706120-4;ESMAX RED LIMITADA;4830314;29/01/2018;29/01/2018 11:44:21;;0;7281;1383;;;10000;;;;;0;;;;0;28;1336;13.36;
95;33;Del Giro;96792430-K;SODIMAC S.A.;88609525;29/01/2018;29/01/2018 11:43:30;;0;66050;12550;;;78600;;;;;0;;;;0;;;;
96;33;Del Giro;76821330-5;IMPERIAL S.A.;13016312;29/01/2018;29/01/2018 16:39:48;31/01/2018 19:27:38;0;16294;3096;;;19390;;;;;0;;;;0;;;;
97;33;Del Giro;96756430-3;CHILEXPRESS S.A.;6930598;30/01/2018;30/01/2018 12:13:13;;0;3190;606;;;3796;;;;;0;;;;0;;;;
98;33;Del Giro;76909700-7;COMERCIAL Y SERVICIOS TEPUAL LIMITADA;51297;30/01/2018;30/01/2018 13:21:05;;0;16791;3190;;;23002;;;;;0;;;;0;28;3021;0;
99;33;Del Giro;79881570-9;SOC DE PLASTICOS Y FITTINGS INDUSTRIALES LIMITADA;255886;24/01/2018;30/01/2018 16:30:30;;0;4645;882;;;5527;;;;;0;;;;0;;;;
100;33;Del Giro;76629085-K;SOCIEDAD DE TRANSPORTES HERMANOS CORNEJO LIMITADA;158;31/01/2018;31/01/2018 08:16:05;;0;130000;24700;;;154700;;;;;0;;;;0;;;;
101;33;Del Giro;76821330-5;IMPERIAL S.A.;13022087;31/01/2018;31/01/2018 10:34:34;;0;171379;32562;;;203941;;;;;0;;;;0;;;;
102;33;Del Giro;76821330-5;IMPERIAL S.A.;13022204;31/01/2018;31/01/2018 10:34:34;31/01/2018 19:27:37;0;34308;6518;;;40826;;;;;0;;;;0;;;;
103;33;Del Giro;76113730-1;A ARRIVECO CONTENEDORES LIMITADA;1481;31/01/2018;31/01/2018 12:26:42;31/01/2018 18:56:13;0;120000;22800;;;142800;;;;;0;;;;0;;;;
104;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5219243;28/12/2017;28/12/2017 10:36:08;;53449;0;0;;;53449;;;;;0;;;;0;;;;
105;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5218851;28/12/2017;28/12/2017 10:37:54;;57411;0;0;;;57411;;;;;0;;;;0;;;;
106;34;Del Giro;96992030-1;Sociedad Concesionaria Vespucio Norte Express S.A.;4217574;12/01/2018;13/01/2018 20:49:10;;7285;0;0;;;7285;;;;;0;;;;0;;;;
107;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4537344;20/01/2018;20/01/2018 15:43:09;;10;0;0;;;10;;;;;0;;;;0;;;;
108;34;Del Giro;76052927-3;Soc. Conc. Autopista Nueva Vespucio Sur S.A.;6017815;20/01/2018;20/01/2018 19:01:36;;17404;0;0;;;17404;;;;;0;;;;0;;;;
109;34;Del Giro;76496130-7;Sociedad Concesionaria Costanera Norte S.A.;4551253;27/01/2018;27/01/2018 21:31:28;31/01/2018 19:18:39;7793;0;0;;;7793;;;;;0;;;;0;;;;
110;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5281507;29/01/2018;29/01/2018 15:58:41;31/01/2018 19:22:22;45961;0;0;;;45961;;;;;0;;;;0;;;;
111;34;Del Giro;96945440-8;SOC CONCESIONARIA AUTOPISTA CENTRAL S A;5282409;29/01/2018;29/01/2018 15:58:41;31/01/2018 19:22:22;40657;0;0;;;40657;;;;;0;;;;0;;;;
112;61;Del Giro;76821330-5;IMPERIAL S.A.;3159965;03/01/2018;03/01/2018 16:23:48;;0;54313;10319;;;64632;;;;;0;;;;0;;;;
113;61;Del Giro;76821330-5;IMPERIAL S.A.;3162217;09/01/2018;09/01/2018 16:22:39;;0;10257;1949;;;12206;;;;;0;;;;0;;;;
114;61;Del Giro;76821330-5;IMPERIAL S.A.;3162958;10/01/2018;10/01/2018 16:30:54;;0;10685;2030;;;12715;;;;;0;;;;0;;;;
115;61;Del Giro;76821330-5;IMPERIAL S.A.;3167266;19/01/2018;19/01/2018 16:24:02;;0;113248;21518;;;134766;;;;;0;;;;0;;;;
116;61;Del Giro;76821330-5;IMPERIAL S.A.;3169525;24/01/2018;24/01/2018 16:23:32;;0;57815;10985;;;68800;;;;;0;;;;0;;;;
